sample_ID age maturity gonad_weight MOD LC Diam.min Diam.max Diam.sd SW K GSI GSIs Fec Rfec RfecS RfecTL3 ID_2
0 D D P P P P P P P P P P P P P P D
Hastkar_96 6 5 7.23 1070 1148 929 1255 51.6 54.6 0.72 22.07 28.32 17.182 245 315 175 96
Hastkar_97 7 6 5.63 1099 1177 1023 1254 41.1 62.2 0.70 16.24 19.39 12.480 168 201 117 97
Hastkar_98 6 5 6.84 977 1029 885 1088 35.7 58.7 0.72 19.97 24.95 20.560 280 350 201 98
Hastkar_99 7 6 4.62 968 1049 850 1141 47.4 50.5 0.73 16.37 19.57 14.220 235 282 173 99
Hastkar_100 5 6 9.19 1050 1109 976 1154 32.8 48.2 0.73 28.96 40.77 22.945 338 476 248 100
Hastkar_101 5 6 11.01 1064 1116 998 1172 32.0 33.4 0.84 41.34 70.46 26.549 466 794 393 101
Hastkar_102 6 5 7.04 926 978 834 1016 31.6 41.8 0.80 26.48 36.01 24.280 427 580 343 102
Hastkar_104 7 6 8.75 1077 1144 941 1163 43.4 47.1 0.72 28.46 39.78 20.452 311 434 224 104
Hastkar_105 5 6 6.98 985 1044 899 1081 34.9 34.9 0.71 29.99 42.85 20.537 412 589 295 105
Hastkar_106 6 6 6.08 1092 1151 969 1186 39.3 45.6 0.78 22.20 28.54 13.726 234 301 182 106
Hastkar_107 7 6 7.15 980 1042 880 1112 35.4 62.7 0.74 19.62 24.40 21.341 274 340 203 107
Hastkar_108 6 6 6.60 969 1013 871 1059 32.5 55.2 0.69 20.38 25.60 20.244 292 367 201 108
Hastkar_109 5 6 4.16 1008 1059 907 1087 32.9 51.4 0.67 14.76 17.32 11.549 192 225 128 109
Hastkar_110 6 6 5.01 1005 1069 915 1115 38.5 39.1 0.64 21.53 27.44 13.994 281 358 180 110
Hastkar_111 5 6 5.23 1054 1101 983 1144 28.8 37.6 0.68 22.93 29.76 12.933 265 344 180 111
Hastkar_112 5 6 2.76 1048 1103 960 1201 35.2 39.5 0.62 13.01 14.96 6.917 152 175 95 112
Hastkar_113 7 6 6.07 1002 1069 916 1098 36.4 51.2 0.81 20.23 25.37 17.101 266 334 217 113
Hastkar_114 4 6 4.77 912 969 836 1035 36.9 19.8 0.68 34.03 51.57 17.139 571 866 389 114
Hastkar_115 5 6 8.81 1019 1081 897 1130 40.7 41.4 0.64 31.27 45.49 23.777 394 574 253 115
Hastkar_116 7 6 4.90 1055 1117 954 1189 40.8 54.4 0.68 16.16 19.27 12.075 186 222 127 116
Hastkar_117 4 5 2.40 832 876 579 1021 37.9 45.2 0.67 10.21 11.37 10.923 217 242 145 117
Hastkar_118 4 5 6.35 939 993 862 1025 30.1 55.4 0.61 19.69 24.52 21.162 307 382 186 118
Hastkar_119 7 5 8.55 925 982 851 1025 36.4 47.9 0.73 27.64 38.20 29.597 447 618 324 119
Hastkar_121 5 5 5.32 872 937 751 994 45.2 39.9 0.76 22.19 28.52 21.427 418 537 317 121
Hastkar_122 5 6 7.27 1024 1086 942 1127 35.9 40.6 0.66 27.68 38.28 19.367 345 477 228 122
Hastkar_123 7 6 4.02 984 1037 895 1089 36.2 61.8 0.62 12.22 13.92 11.868 169 192 104 123
Hastkar_124 6 6 5.47 1005 1049 934 1136 29.5 72.4 0.74 13.92 16.17 15.273 182 211 134 124
Hastkar_125 6 6 4.92 993 1033 921 1053 27.5 43.7 0.59 19.43 24.11 14.171 261 324 155 125
Hastkar_126 7 6 NA 1011 1062 940 1128 34.0 NA 0.80 NA NA NA NA NA NA 126
Hastkar_127 6 6 5.39 1020 1091 899 1133 41.9 62.4 0.72 15.61 18.50 14.503 196 233 142 127
Hastkar_128 6 6 14.05 1034 1118 884 1184 48.4 49.9 0.75 37.58 60.21 36.458 456 730 342 128
Hastkar_129 4 5 7.07 868 916 735 1008 34.0 95.0 0.65 13.74 15.93 28.839 262 304 170 129
Hastkar_130 5 6 9.61 1033 1083 959 1107 30.8 39.3 0.70 34.33 52.28 24.991 417 635 290 130
Hastkar_131 4 6 4.43 986 1036 894 1092 33.0 43.2 0.71 17.99 21.93 13.020 247 301 176 131
Hastkar_132 7 5 13.91 1023 1110 900 1174 48.2 64.9 0.84 31.43 45.84 37.105 392 571 330 132
Hastkar_133 6 6 3.56 1017 1079 926 1117 38.0 47.5 0.65 13.83 16.04 9.649 175 203 114 133
Hastkar_134 8 6 NA 1001 1081 861 1128 45.6 NA 0.77 NA NA NA NA NA NA 134
Hastkar_135 6 5 7.94 1124 1216 1015 1236 52.6 61.4 0.74 21.67 27.67 16.618 212 271 156 135
Hastkar_136 6 6 NA 880 941 795 1021 37.8 NA 0.24 NA NA NA NA NA NA 136
Hastkar_137 5 6 5.34 1010 1065 946 1124 28.3 48.4 0.66 19.11 23.62 14.749 247 305 164 137
Hastkar_138 7 6 9.93 991 1065 907 1077 39.4 27.9 0.66 43.19 76.03 28.805 585 1031 388 138
Hastkar_139 6 5 12.85 915 965 806 995 32.2 37.0 0.72 42.63 74.32 45.780 710 1237 509 139
Hastkar_140 5 6 8.04 999 1064 922 1090 35.2 39.4 0.81 30.40 43.68 22.803 403 579 327 140
Hastkar_141 4 6 3.39 1023 1072 946 1102 27.4 40.4 0.62 15.21 17.94 9.059 190 224 118 141
Hastkar_142 4 5 4.30 922 979 811 1017 37.9 52.8 0.71 14.84 17.43 15.006 242 284 172 142
Hastkar_143 6 6 8.74 1069 1140 946 1224 45.4 52.4 0.78 26.31 35.70 20.807 293 397 228 143
Hastkar_144 5 6 5.81 NA NA NA NA NA 40.6 0.68 23.46 30.65 NA NA NA NA 144
