sample_ID age maturity gonad_weight MOD LC Diam.min Diam.max Diam.sd SW K GSI GSIs Fec Rfec RfecS RfecTL3 ID_2
0 D D P P P P P P P P P P P P P P D
Hastkar_414 8 6 3.32 982 1041 843 1080 37.1 43.6 0.71 14.01 16.30 9.848 194 226 137 414
Hastkar_415 7 6 5.59 1024 1079 940 1146 34.2 39.1 0.70 23.41 30.57 14.880 291 380 204 415
Hastkar_416 6 5 5.08 935 985 859 1012 31.1 43.0 0.75 20.17 25.26 17.120 318 398 238 416
Hastkar_417 9 6 5.91 1042 1103 934 1152 37.6 40.1 0.77 24.00 31.58 15.028 285 375 219 417
Hastkar_418 6 6 6.88 1062 1146 979 1203 43.7 41.8 0.72 26.06 35.24 16.686 295 399 212 418
Hastkar_419 5 5 8.24 1054 1116 966 1256 41.3 35.7 0.76 33.08 49.44 20.345 382 570 292 419
Hastkar_420 5 6 2.66 963 1018 871 1066 34.7 42.4 0.65 11.83 13.42 8.291 172 196 112 420
Hastkar_421 5 6 3.85 802 861 645 921 46.4 50.1 0.74 14.13 16.46 19.291 331 385 245 421
Hastkar_422 6 6 7.00 884 937 771 961 32.9 44.3 0.80 25.26 33.80 27.239 459 615 367 422
Hastkar_423 3 5 10.17 1050 1125 958 1181 44.9 86.0 0.72 20.19 25.30 25.381 235 295 168 423
Hastkar_424 7 6 4.08 1079 1152 895 1215 47.5 52.9 0.66 14.17 16.51 9.480 154 179 101 424
Hastkar_425 5 6 2.39 743 800 650 827 33.1 50.7 0.68 9.17 10.09 14.588 261 288 177 425
Hastkar_426 9 5 6.49 1006 1067 907 1119 38.6 45.6 0.76 23.34 30.45 18.116 304 397 230 426
Hastkar_427 5 5 4.63 995 1047 920 1132 33.5 49.0 0.68 16.82 20.22 13.294 226 271 154 427
Hastkar_428 4 5 5.14 967 1067 847 1169 55.7 46.2 0.67 19.23 23.81 15.886 278 344 187 428
Hastkar_429 5 5 6.41 794 844 642 867 37.3 87.1 0.65 13.61 15.75 32.956 327 378 213 429
Hastkar_430 7 5 5.52 979 1020 907 1067 27.7 60.0 0.73 16.45 19.69 16.519 230 275 169 430
Hastkar_431 4 5 5.74 1061 1136 961 1192 46.9 33.8 0.74 26.65 36.32 13.958 303 413 224 431
Hastkar_432 4 6 6.86 1040 1132 933 1194 44.6 45.0 0.72 24.59 32.61 17.563 294 390 213 432
Hastkar_433 5 5 7.34 1029 1095 913 1184 44.0 48.3 0.80 24.54 32.53 19.311 302 400 241 433
Hastkar_434 7 6 5.50 1037 1075 942 1118 28.6 55.4 0.62 17.51 21.23 14.168 211 256 131 434
Hastkar_435 6 NA 2.09 1076 1170 942 1217 55.1 51.4 0.61 8.00 8.70 4.896 88 95 54 435
Hastkar_436 8 6 NA 957 1023 816 1061 38.9 NA 0.69 NA NA NA NA NA NA 436
Hastkar_437 6 5 13.74 976 1045 876 1071 37.9 66.6 0.82 17.11 20.64 19.341 241 291 197 437
Hastkar_438 7 5 4.26 895 947 817 1011 34.5 42.8 0.66 17.57 21.31 16.085 310 376 204 438
Hastkar_439 5 6 5.39 1049 1106 940 1136 37.8 40.7 0.77 22.10 28.36 13.484 258 332 200 439
Hastkar_440 5 6 2.84 996 1040 911 1117 29.2 52.3 0.68 10.41 11.62 8.135 139 155 94 440
Hastkar_441 5 5 5.26 974 1031 847 1066 34.1 48.1 0.75 18.95 23.38 15.950 269 331 202 441
Hastkar_442 8 6 NA 946 988 879 998 26.0 NA 0.61 NA NA NA NA NA NA 442
Hastkar_443 5 5 4.74 1024 1080 943 1130 35.8 44.5 0.66 18.58 22.82 12.628 231 284 153 443
Hastkar_444 6 6 1.80 1007 1082 913 1110 41.9 30.4 0.62 11.23 12.65 5.011 146 165 90 444
Hastkar_445 6 6 6.33 1052 1115 943 1140 40.2 48.5 0.73 21.85 27.96 15.702 253 324 185 445
Hastkar_446 6 6 6.40 1092 1140 1013 1161 28.7 56.1 0.74 19.62 24.41 14.424 207 257 154 446
Hastkar_447 7 6 9.89 1009 1073 925 1179 40.8 56.4 0.80 27.27 37.50 27.394 353 485 283 447
Hastkar_448 5 5 10.90 991 1047 893 1083 36.6 40.3 0.73 21.29 27.05 14.764 288 366 212 448
Hastkar_449 4 6 2.98 979 1057 857 1124 46.2 62.0 0.67 9.32 10.28 8.912 130 144 87 449
Hastkar_450 5 5 10.67 1077 1161 964 1191 47.2 61.9 0.85 26.96 36.91 24.910 294 403 251 450
Hastkar_451 6 5 8.37 987 1045 882 1111 38.5 51.0 0.71 26.00 35.13 24.527 356 481 254 451
Hastkar_452 6 5 7.09 1086 1165 934 1213 51.3 56.0 0.68 21.31 27.08 16.202 228 289 154 452
Hastkar_453 6 5 5.25 993 1048 869 1085 38.4 41.2 0.75 21.44 27.29 15.148 289 368 217 453
Hastkar_454 4 6 NA 1028 1093 931 1135 39.3 NA 0.74 NA NA NA NA NA NA 454
Hastkar_455 4 5 5.76 894 951 764 970 33.3 48.7 0.74 20.21 25.32 21.780 357 447 264 455
Hastkar_456 3 5 4.78 974 1034 881 1135 39.3 62.2 0.76 14.13 16.45 14.504 200 233 152 456
Hastkar_457 5 5 9.79 928 981 852 1019 31.6 76.0 0.68 21.60 27.55 33.601 346 442 237 457
