"V1"	"V2"	"sample.id"	"spawning.season"	"cluster"	"cluster.jake"
-0.0191868151737696	0.0037581851740273	"Hastkar_258"	NA	"Spring-like"	NA
0.0569661932120134	-0.0318521975834926	"Hastkar_259"	NA	NA	NA
-0.0227596363833357	0.0041487898590716	"Hastkar_260"	NA	"Spring-like"	NA
-0.0223249386027815	0.00149010507202388	"Hastkar_261"	NA	"Spring-like"	NA
-0.00531851773755491	-0.0158999493161318	"Hastkar_262"	NA	"Spring-like"	NA
0.0233393475702706	0.00967443376311083	"Hastkar_263"	NA	"Intermediate"	1
0.0153806877366177	0.0282930830925152	"Hastkar_264"	NA	"Intermediate"	1
-0.0235687781783251	-0.00225311772105407	"Hastkar_265"	NA	"Spring-like"	NA
-0.0216281293622067	0.00223232245272098	"Hastkar_266"	NA	"Spring-like"	1
0.0505587214224963	0.0305494582586429	"Hastkar_267"	NA	NA	1
0.0814304493960478	-0.00023254614147204	"Hastkar_268"	NA	"Autumn-like"	NA
-0.023773158642337	-0.00458219900743623	"Hastkar_269"	NA	"Spring-like"	1
-0.0189763849128097	-0.000667456082715758	"Hastkar_270"	NA	"Spring-like"	1
0.0344224066636065	0.0193452047767004	"Hastkar_271"	NA	"Intermediate"	1
-0.0224706236792195	-0.00104012545091439	"Hastkar_272"	NA	"Spring-like"	1
0.0269438418179854	-0.0449733754699706	"Hastkar_273"	NA	"Intermediate"	NA
-0.000938086822217137	0.00013393526573707	"Hastkar_274"	NA	NA	NA
0.0229413183802738	0.0122190001747376	"Hastkar_275"	NA	"Intermediate"	1
-0.0194768502190602	0.000787574675348755	"Hastkar_276"	NA	"Spring-like"	1
0.0304166640996079	0.00126567595126419	"Hastkar_277"	NA	"Intermediate"	1
0.0262773476266251	-0.0030961183666723	"Hastkar_278"	NA	"Intermediate"	NA
-0.0207535411529383	0.00118741420605796	"Hastkar_279"	NA	"Spring-like"	NA
-0.0216646548113128	0.0047378286062968	"Hastkar_280"	NA	"Spring-like"	NA
0.0315509697689372	-0.0027015173030964	"Hastkar_281"	NA	"Intermediate"	NA
-0.0231503764004351	0.00196442044332035	"Hastkar_282"	NA	"Spring-like"	1
-0.0231519285882152	0.00526907499305227	"Hastkar_283"	NA	"Spring-like"	NA
-0.024552572371408	0.00521938431500314	"Hastkar_284"	NA	"Spring-like"	1
-0.0130585722928802	0.0073015257821564	"Hastkar_285"	NA	"Spring-like"	1
-0.00939692352388345	-0.0324385671112556	"Hastkar_286"	NA	"Spring-like"	NA
-0.0228011097025516	-0.000228372765427584	"Hastkar_287"	NA	"Spring-like"	1
0.00186118500299965	0.0175513177893456	"Hastkar_288"	NA	NA	2
0.0418106406199765	0.0187575433669774	"Hastkar_289"	NA	"Intermediate"	NA
-0.0210927312902943	0.0124952247803594	"Hastkar_290"	NA	"Spring-like"	NA
-0.0205539572571834	-0.00176557712322121	"Hastkar_291"	NA	"Spring-like"	NA
-0.0155553225137396	0.00426864035991546	"Hastkar_292"	NA	"Spring-like"	NA
-0.0223856166074477	-0.005522745164948	"Hastkar_293"	NA	"Spring-like"	NA
-0.0212062114232949	-0.00244670803143926	"Hastkar_294"	NA	"Spring-like"	1
0.0261212640710981	-0.0218314081848968	"Hastkar_295"	NA	"Intermediate"	NA
0.0334865262224042	0.0306618336859578	"Hastkar_296"	NA	"Intermediate"	NA
-0.0237511459747931	0.00127990625178838	"Hastkar_297"	NA	"Spring-like"	NA
-0.007606382874385	-0.0260084923644969	"Hastkar_298"	NA	"Spring-like"	NA
-0.0182216187247772	0.011004224629829	"Hastkar_299"	NA	"Spring-like"	NA
0.0837451191848948	0.0302930533168444	"Hastkar_300"	NA	"Autumn-like"	2
0.019748423912422	0.0125528086390488	"Hastkar_301"	NA	"Intermediate"	NA
-0.0238082407213509	0.000755752622272974	"Hastkar_302"	NA	"Spring-like"	1
0.0313621085637001	0.0306538621343342	"Hastkar_303"	NA	"Intermediate"	1
-0.0243241136149378	0.00540887213620418	"Hastkar_304"	NA	"Spring-like"	1
-0.0246414820981329	-0.00136811492017904	"Hastkar_305"	NA	"Spring-like"	NA
0.0874119723397233	0.0532997912515163	"Hastkar_306"	NA	"Autumn-like"	NA
0.0552853745514146	0.0294755019732358	"Hastkar_307"	NA	NA	2
-0.0222688414739125	-0.000856431743021304	"Hastkar_308"	NA	"Spring-like"	1
0.0200279508014326	-0.0108539788917473	"Hastkar_309"	NA	"Intermediate"	NA
0.0218585265044726	0.00220624104383232	"Hastkar_310"	NA	"Intermediate"	1
-0.0107848547401917	0.00655334237184815	"Hastkar_311"	NA	"Spring-like"	NA
-0.0236943861767944	0.00471258741099727	"Hastkar_312"	NA	"Spring-like"	1
-0.0210894503248883	-0.00406365829937179	"Hastkar_313"	NA	"Spring-like"	NA
